_id,price,title
63d5a32004bd7c59b33fe0cd,$2.50 per 1ea,Coles Asian Choy Chinese Broccoli | 1 each
63d5a32004bd7c59b33fe0ce,$2.50 per 1ea,Coles Continental Cucumbers Loose | 1 each
63d5a32004bd7c59b33fe0cf,$1.25 per 1ea,Coles Baby Cos Lettuce | 2 pack
63d5a32004bd7c59b33fe0d0,$2.50 per 1ea,Coles Fennel | 1 bunch
63d5a32004bd7c59b33fe0d1,$2.70 per 1ea,Coles Lettuce Decorative Butter | 1 each
63d5a32004bd7c59b33fe0d2,$2.70 per 1ea,Coles Lettuce Decorative Oak Red | 1 each
63d5a32004bd7c59b33fe0d3,$2.70 per 1ea,Coles Lettuce Decorative Green Oak | 1 each
63d5a32004bd7c59b33fe0d4,$2.70 per 1ea,Coles Baby Broccoli | 1 each
63d5a32004bd7c59b33fe0d5,$2.80 per 1ea,Coles Cabbage Wombok Precut Half | 1 each
63d5a32004bd7c59b33fe0d6,$5.83 per 1kg,Coles Roma Tomatoes | 480g
63d5a32004bd7c59b33fe0d7,$2.80 per 1ea,Coles Spring Onions | 1 bunch
63d5a32004bd7c59b33fe0d8,$11.60 per 1kg,Coles Cocktail Truss Tomatoes | 250g
63d5a32004bd7c59b33fe0d9,$2.90 per 1ea,Coles Pearl Mangoes Medium Loose | 1 each
63d5a32004bd7c59b33fe0da,$11.60 per 1kg,Coles Cherry Tomatoes Prepacked | 250g
63d5a32004bd7c59b33fe0db,$5.80 per 1kg,Coles Vine Ripened Tomatoes Prepacked | 500g
63d5a32004bd7c59b33fe0dc,$2.90 per 1ea,Coles Dutch Carrots | 1 bunch
63d5a32004bd7c59b33fe0dd,$3.00 per 1kg,Coles Brushed Baby Potato | 1kg
63d5a32004bd7c59b33fe0de,$21.43 per 1kg,Coles Chopped Kale | 140g
63d5a32004bd7c59b33fe0df,$10.00 per 1kg,Coles Kitchen Cauliflower Rice | 300g
63d5a32004bd7c59b33fe0e0,$4.00 per 1kg,Coles Coles Spudlite Baby Potato | 750g
63d5a32004bd7c59b33fe0e1,$3.00 per 1ea,Coles Half Drumhead Cabbage | 1 each
63d5a32004bd7c59b33fe0e2,$3.00 per 1ea,Coles Half Savoy Cabbage | 1 each
63d5a32004bd7c59b33fe0e3,$3.00 per 1ea,Coles Half Red Cabbage | 1 each
63d5a32004bd7c59b33fe0e4,$15.00 per 1kg,Coles Fresh Chillies Mixed | 200g
63d5a32004bd7c59b33fe0e5,$12.00 per 1kg,Coles Grape Mini Roma Tomatoes | 250g
63d5a32004bd7c59b33fe0e6,$3.00 per 1ea,Coles Cos Lettuce Head | 1 each
63d5a32004bd7c59b33fe0e7,$3.00 per 1ea,Coles Symphony Lettuce Decorative | 1 each
63d5a32004bd7c59b33fe0e8,$3.20 per 1ea,Coles Leeks | 1 each
63d5a32004bd7c59b33fe0e9,$3.30 per 1ea,Coles Half Cauliflower | 1 each
63d5a32804bd7c59b33fe0ea,$19.90 per 1kg,Coles Lychees Loose | approx. 20g each
63d5a32804bd7c59b33fe0eb,$2.50 per 1kg,Fresh Bananas | approx. 180g each
63d5a32804bd7c59b33fe0ec,$3.40 per 1kg | Was $0.58,Coles Yellow Nectarines | approx. 150g
63d5a32804bd7c59b33fe0ed,$3.40 per 1kg,Coles White Nectarines | approx. 150g
63d5a32804bd7c59b33fe0ee,$2.90 per 1kg,Coles Packham Pears | approx. 240g
63d5a32804bd7c59b33fe0ef,$4.50 per 1kg,Coles Royal Gala Apples Loose | approx. 160g each
63d5a32804bd7c59b33fe0f0,$6.90 per 1kg | Was $1.29,Coles Montague Tree Plums | approx. 130g
63d5a32804bd7c59b33fe0f1,$6.90 per 1kg,Coles Jazz Apples | approx. 160g each
63d5a32804bd7c59b33fe0f2,$1.50 per 1ea,Coles Limes Medium Loose | 1 each
63d5a32804bd7c59b33fe0f3,$1.50 per 1ea,Coles Green Kiwifruit | 1 each
63d5a32804bd7c59b33fe0f4,$1.80 per 1ea,Coles Passionfruit | 1 each
63d5a32804bd7c59b33fe0f5,$1.80 per 1ea,Coles Medium Lemons | 1 each
